,City,SolarUnitCount,County,Pop_2010,Area_SqMi
563,Los Gatos,566,Santa Clara,29413,11.08
564,Los Molinos,19,,0,0
565,Los Olivos,20,,0,0
566,Los Osos,101,,0,0
567,Lost Hills,3,,0,0
568,Lotus,6,,0,0
569,Lower Lake,15,,0,0
570,Lucerne,11,,0,0
571,Lucerne Valley,42,,0,0
572,Lucerne Vly,1,,0,0
573,Lynwood,106,Los Angeles,69772,4.84
574,Lytle Creek,1,,0,0
575,Madera,574,Madera,61416,15.79
576,Madison,9,,0,0
577,Magalia,5,,0,0
578,Malibu,316,Los Angeles,12645,19.78
579,Mammoth Lakes,17,Mono,8234,24.87
580,Manchester,7,,0,0
581,Manhattan Bch,7,,0,0
582,Manhattan Beach,400,Los Angeles,35135,3.94
583,Manteca,282,San Joaquin,67096,17.73
584,Manton,5,,0,0
585,Maricopa,1,Kern,1154,1.5
586,Marin City,1,,0,0
587,Marina,40,Monterey,19718,8.88
588,Marina Del Rey,1,,0,0
589,Mariposa,60,,0,0
590,Marshall,3,,0,0
591,Martell,2,,0,0
592,Martinez,258,Contra Costa,35824,12.13
593,Marysville,131,Yuba,12072,3.46
594,Maxwell,15,,0,0
595,Maywood,3,Los Angeles,27395,1.18
596,Mc Farland,19,,0,0
597,Mcarthur,14,,0,0
598,Mckinleyville,40,,0,0
599,Meadow Valley,1,,0,0
600,Meadow Vista,51,,0,0
601,Mendocino,26,,0,0
602,Mendota,10,Fresno,11014,3.28
603,Menifee,624,Riverside,77519,46.47
604,Menlo Park,285,San Mateo,32026,9.79
605,Mentone,47,,0,0
606,Merced,240,Merced,78958,23.32
607,Meridian,5,,0,0
608,Mesa Verde,1,,0,0
609,Mi Wuk Village,3,,0,0
610,Middletown,32,,0,0
611,Midpines,1,,0,0
612,Midway City,14,,0,0
613,Mill Valley,302,Marin,13903,4.76
614,Millbrae,65,San Mateo,21532,3.25
615,Millville,23,,0,0
616,Milpitas,204,Santa Clara,66790,13.59
617,Mineral,2,,0,0
618,Mira Loma,249,,0,0
619,Mirada,1,,0,0
620,Miramonte,2,,0,0
621,Miranda,2,,0,0
622,Mission Viejo,806,Orange,93305,17.74
623,Moccasin,1,,0,0
624,Mojave,25,,0,0
625,Mokelumne Hill,10,,0,0
626,Monrovia,148,Los Angeles,36590,13.6
627,Montara,25,,0,0
628,Montclair,71,San Bernardino,36664,5.52
629,Monte Nido,1,,0,0
630,Monte Rio,8,,0,0
631,Monte Sereno,25,Santa Clara,3341,1.62
632,Montebello,70,Los Angeles,62500,8.33
633,Montecito,4,,0,0
634,Monterey,135,Monterey,27810,8.47
635,Monterey Park,132,Los Angeles,60269,7.67
636,Montgomery Creek,2,,0,0
637,Montrose,17,,0,0
638,Moorpark,308,Ventura,34421,12.58
639,Morada,1,,0,0
640,Moraga,144,Contra Costa,16016,9.43
641,Moreno Valley,731,Riverside,193365,51.27
642,Morgan Hill,651,Santa Clara,37882,12.88
643,Morongo Valley,35,,0,0
644,Morro Bay,49,San Luis Obispo,10234,5.3
645,Moss Beach,28,,0,0
646,Moss Landing,1,,0,0
647,Mount Aukum,6,,0,0
648,Mount Hermon,3,,0,0
649,Mount Laguna,1,,0,0
650,Mountain Center,3,,0,0
651,Mountain Mesa,2,,0,0
652,Mountain Ranch,20,,0,0
653,Mountain View,440,Santa Clara,74066,12
654,Mt Baldy,3,,0,0
655,Muir Beach,8,,0,0
656,Murphys,56,,0,0
657,Murrieta,2028,Riverside,103466,33.58
658,Murrieta Hot Springs,2,,0,0
659,Napa,652,Napa,76915,17.84
660,National City,69,San Diego,58582,7.28
661,Navarro,2,,0,0
662,Needles,12,San Bernardino,4844,30.81
663,Nelson,5,,0,0
664,Nevada City,187,Nevada,3068,2.19
665,New Cuyama,3,,0,0
666,Newark,76,Alameda,42573,13.87
667,Newberry Springs,24,,0,0
668,Newbury Park,456,,0,0
669,Newcastle,134,,0,0
670,Newhall,264,,0,0
671,Newman,32,Stanislaus,10224,2.1
672,Newport Beach,289,Orange,85186,23.8
673,Newport Coast,39,,0,0
674,Nicasio,26,,0,0
675,Nice,7,,0,0
676,Nicolaus,7,,0,0
677,Nipomo,179,,0,0
678,Nipton,6,,0,0
679,Norco,441,Riverside,27063,13.96
680,North Edwards,2,,0,0
681,North Fork,22,,0,0
682,North San Juan,3,,0,0
683,North Tustin,9,,0,0
684,Norwalk,121,Los Angeles,105549,9.71
685,Novato,383,Marin,51904,27.44
686,Nuevo,100,,0,0
687,O Neals,6,,0,0
688,Oak Glen,1,,0,0
689,Oak Hills,100,,0,0
690,Oak Park,179,,0,0
691,Oak Run,9,,0,0
692,Oak View,54,,0,0
693,Oakdale,302,Stanislaus,20675,6.04
694,Oakhurst,46,,0,0
695,Oakland,1297,Alameda,390724,55.79
696,Oakley,193,Contra Costa,35432,15.85
697,Oakville,8,,0,0
698,Occidental,26,,0,0
699,Ocean Beach,1,,0,0
700,Oceano,17,,0,0
701,Oceanside,654,San Diego,167086,41.23
702,Ojai,304,Ventura,7461,4.39
703,Olema,2,,0,0
704,Olivehurst,33,,0,0
705,Olivenhain,1,,0,0
706,Ontario,406,San Bernardino,163924,49.94
707,Onyx,4,,0,0
708,Orange,914,Orange,134616,24.8
709,Orange Cove,15,Fresno,9078,1.91
710,Orcutt,4,,0,0
711,Oregon House,18,,0,0
712,Orinda,263,Contra Costa,17643,12.68
713,Orland,138,Glenn,7291,2.97
714,Orleans,2,,0,0
715,Oro Grande,1,,0,0
716,Orosi,17,,0,0
717,Oroville,281,Butte,15546,12.99
718,Oxnard,380,Ventura,197899,26.89
719,Pacheco,12,,0,0
720,Pacific Beach,6,,0,0
721,Pacific Grove,32,Monterey,15041,2.86
722,Pacifica,130,San Mateo,37234,12.66
723,Paicines,5,,0,0
724,Pala,23,,0,0
725,Palermo,4,,0,0
726,Palm Desert,1048,Riverside,48445,26.81
727,Palm Springs,1161,Riverside,44552,94.12
728,Palmdale,1303,Los Angeles,152750,105.96
729,Palo Alto,8,Santa Clara,64403,23.88
730,Palo Cedro,71,,0,0
731,Palo Verde,8,,0,0
732,Palomar Park,2,,0,0
733,Palos Verdes Estates,98,Los Angeles,13438,4.77
734,Palos Verdes Peninsula,71,,0,0
735,Paradise,77,Butte,26218,18.31
736,Paramount,26,Los Angeles,54098,4.73
737,Parkfield,1,,0,0
738,Parlier,15,Fresno,14494,2.19
739,Pasadena,132,Los Angeles,137122,22.97
740,Paskenta,1,,0,0
741,Paso Robles,363,San Luis Obispo,29793,19.12
742,Patterson,2,Stanislaus,20413,5.95
743,Patton,1,,0,0
744,Pauma Valley,51,,0,0
745,Pearblossom,26,,0,0
746,Pebble Beach,13,,0,0
747,Penn Valley,144,,0,0
748,Penngrove,68,,0,0
749,Penryn,85,,0,0
750,Perris,446,Riverside,68386,31.39
751,Pescadero,10,,0,0
752,Petaluma,492,Sonoma,57941,14.38
753,Petrolia,1,,0,0
754,Phelan,141,,0,0
755,Phillips Ranch,1,,0,0
756,Philo,23,,0,0
757,Pico Rivera,51,Los Angeles,62942,8.3
758,Piedmont,129,Alameda,10667,1.68
759,Pilot Hill,28,,0,0
