,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
45,Blue Lake,3.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Blythe,64.0,2.0,0.0,0.0,2.0,62.0,6.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0
47,Bradbury,11.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
48,Brawley,84.0,0.0,0.0,0.0,0.0,84.0,140.0,0.0,0.0,81.0,81.0,59.0,24.0,2.0,0.0,0.0,2.0,22.0,15.0,0.0,0.0,0.0,0.0,15.0,84.0,0.0,0.0,76.0,76.0,8.0,10.0,0.0,4.0,0.0,4.0,6.0,29.0,0.0,0.0,6.0,6.0,23.0
49,Brea,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,273.0,0.0,0.0,260.0,260.0,13.0,24.0,0.0,0.0,0.0,0.0,24.0,36.0,8.0,0.0,19.0,27.0,9.0,233.0,0.0,0.0,227.0,227.0,6.0,159.0,0.0,0.0,22.0,22.0,137.0
50,Brentwood,357.0,0.0,0.0,0.0,0.0,357.0,37.0,0.0,0.0,0.0,0.0,37.0,87.0,0.0,0.0,0.0,0.0,87.0,167.0,0.0,0.0,0.0,0.0,167.0,104.0,0.0,0.0,0.0,0.0,104.0,302.0,0.0,0.0,54.0,54.0,248.0,478.0,0.0,0.0,0.0,0.0,478.0
51,Brisbane,12.0,0.0,3.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,49.0,0.0,0.0,0.0,0.0,49.0
52,Buellton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Buena Park,88.0,0.0,0.0,0.0,0.0,88.0,89.0,0.0,0.0,0.0,0.0,89.0,88.0,0.0,4.0,5.0,9.0,79.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,120.0,0.0,8.0,70.0,78.0,42.0,16.0,0.0,0.0,0.0,0.0,16.0
54,Burbank,185.0,2.0,7.0,145.0,154.0,31.0,319.0,4.0,7.0,297.0,308.0,11.0,16.0,2.0,4.0,0.0,6.0,10.0,18.0,0.0,3.0,0.0,3.0,15.0,21.0,2.0,3.0,10.0,15.0,6.0,26.0,0.0,0.0,20.0,20.0,6.0,9.0,0.0,0.0,0.0,0.0,9.0
