,City,County,Pop_2010,Area_SqMi
419,La Habra Heights,Los Angeles,5325,6.16
420,Woodside,San Mateo,5287,11.73
421,Solvang,Santa Barbara,5245,2.43
422,Calistoga,Napa,5155,2.6
423,Williams,Colusa,5123,5.44
424,Big Bear Lake,San Bernardino,5019,6.35
425,Indian Wells,Riverside,4958,14.32
426,Dos Palos,Merced,4950,1.35
427,Sonora,Tuolumne,4903,3.06
428,Willits,Mendocino,4888,2.8
429,Needles,San Bernardino,4844,30.81
430,Buellton,Santa Barbara,4828,1.58
431,Lakeport,Lake,4753,3.06
432,Jackson,Amador,4651,3.73
433,Portola Valley,San Mateo,4353,9.09
434,Brisbane,San Mateo,4282,3.1
435,Del Mar,San Diego,4161,1.71
436,San Joaquin,Fresno,4001,1.15
437,Bishop,Inyo,3879,1.86
438,Angels Camp,Calaveras,3836,3.63
439,Avalon,Los Angeles,3728,2.94
440,Carmel-by-the-Sea,Monterey,3722,1.08
441,Wheatland,Yuba,3456,1.48
442,Mount Shasta,Siskiyou,3394,3.77
443,Rio Dell,Humboldt,3368,2.28
444,Monte Sereno,Santa Clara,3341,1.62
445,Nevada City,Nevada,3068,2.19
446,Weed,Siskiyou,2967,4.79
447,Yountville,Napa,2933,1.53
448,Alturas,Modoc,2827,2.43
449,Sutter Creek,Amador,2501,2.56
450,Ross,Marin,2415,1.56
451,Westmorland,Imperial,2225,0.59
452,Portola,Plumas,2104,5.41
453,Belvedere,Marin,2068,0.52
454,Colfax,Placer,1963,1.41
455,San Juan Bautista,San Benito,1862,0.71
456,Rolling Hills,Los Angeles,1860,2.99
457,Hidden Hills,Los Angeles,1856,1.69
458,Colma,San Mateo,1792,1.91
459,Biggs,Butte,1707,0.64
460,Dunsmuir,Siskiyou,1650,1.7
461,Del Rey Oaks,Monterey,1624,0.48
462,Montague,Siskiyou,1443,1.78
463,Irwindale,Los Angeles,1422,8.83
464,Ferndale,Humboldt,1371,1.03
465,Blue Lake,Humboldt,1253,0.59
466,Maricopa,Kern,1154,1.5
467,Bradbury,Los Angeles,1048,1.96
468,Tulelake,Siskiyou,1010,0.41
469,Plymouth,Amador,1005,0.93
470,Dorris,Siskiyou,939,0.7
471,Fort Jones,Siskiyou,839,0.6
472,Isleton,Sacramento,804,0.44
473,Loyalton,Sierra,769,0.36
474,Etna,Siskiyou,737,0.76
475,Point Arena,Mendocino,449,1.35
476,Tehama,Tehama,418,0.79
477,Trinidad,Humboldt,367,0.48
478,Sand City,Monterey,334,0.56
479,Industry,Los Angeles,219,11.78
480,Amador City,Amador,185,0.31
481,Vernon,Los Angeles,112,4.97
